	0
K13377	yellow
G13179	blue
K09392	yellow
K22700	yellow
K16490	yellow
K04558	yellow
K09581	yellow
G13167	blue
K13090	yellow
C00624	green
K03242	yellow
K02896	yellow
K04397	yellow
K19891	yellow
C05643	yellow
C00692	blue
K09507	yellow
K08431	yellow
K14562	yellow
K03706	blue
C00114	green
K20101	yellow
K26812	yellow
K21112	yellow
K09999	blue
K18181	yellow
K08442	yellow
K01302	yellow
K26152	yellow
K15598	blue
C05692	yellow
K24890	yellow
K10080	yellow
C08580	yellow
G00156	yellow
C00141	green
K08242	yellow
K11268	yellow
K13034	yellow
K16908	yellow
C22123	yellow
K08854	yellow
K11051	blue
K02296	yellow
K00544	yellow
G10794	yellow
C00242	green
K13800	yellow
K26247	yellow
C01222	green
K10160	yellow
K18627	yellow
K24333	yellow
K14297	yellow
K12870	yellow
K06250	yellow
K16235	blue
K08495	yellow
K13720	yellow
K14815	yellow
K13342	yellow
K07194	yellow
K11364	yellow
C14813	yellow
K18412	yellow
K03742	blue
C05810	blue
K13709	yellow
K24630	yellow
K05062	yellow
K01770	green
K13768	yellow
C21939	yellow
K16166	yellow
K21955	yellow
K16066	blue
K05717	yellow
K20173	yellow
K07575	yellow
C00852	yellow
K05807	blue
K24429	yellow
K24358	yellow
K03364	yellow
K19042	yellow
K02655	blue
K24736	yellow
K11850	yellow
K14573	yellow
K09106	yellow
C05588	yellow
K04872	yellow
K02949	yellow
K19196	yellow
K20639	yellow
K22207	yellow
K07219	blue
C04350	yellow
K13413	yellow
K25948	yellow
K24377	yellow
K18496	yellow
K07190	yellow
K14214	yellow
K15586	blue
K02873	yellow
K02025	blue
K03139	yellow
K12484	yellow
K00965	green
K05810	green
K13881	yellow
K01848	blue
K01110	yellow
K14694	yellow
C17148	yellow
K08124	yellow
K16763	yellow
K01596	green
K17392	yellow
K22558	yellow
K27757	yellow
K11653	yellow
K01373	yellow
K19928	yellow
K10118	blue
C04573	blue
K11167	yellow
K19355	green
K14876	yellow
K00781	yellow
C00473	green
K09791	blue
K17386	yellow
K13180	yellow
K23151	yellow
K16541	yellow
K06469	yellow
K27317	yellow
K00656	blue
K16483	yellow
K06273	yellow
C21750	yellow
K20180	yellow
K17890	yellow
K15174	yellow
K15867	yellow
K01637	yellow
K17428	yellow
K05351	blue
K13109	yellow
K18682	blue
K23500	yellow
K04308	yellow
K02843	blue
K06564	yellow
C11136	yellow
K00655	green
C01571	green
K07112	blue
K17782	yellow
K13426	yellow
K00610	blue
K22156	yellow
K27415	yellow
K07923	yellow
K15397	yellow
C02888	blue
K26384	yellow
K27588	yellow
K11548	yellow
K07852	yellow
K08905	yellow
K00506	yellow
K07838	yellow
K00797	green
K17785	yellow
K07514	yellow
K20029	yellow
K20774	yellow
K01895	green
C01286	blue
K10590	yellow
C00264	yellow
K01837	yellow
K03988	yellow
K16185	yellow
K10520	yellow
K06384	blue
K18666	yellow
K08805	yellow
K07407	green
K06027	yellow
K06247	yellow
K06874	yellow
K08062	yellow
G13038	yellow
C01419	green
K14696	yellow
K08111	yellow
K15407	yellow
K01441	yellow
G00209	yellow
K17195	blue
K03558	blue
K20714	yellow
C00794	green
C17343	yellow
K13115	yellow
C00349	yellow
K10329	yellow
C02687	yellow
C20723	yellow
K24538	yellow
K10625	yellow
K03444	yellow
K15135	yellow
C03506	green
K12447	yellow
K12123	yellow
K23614	yellow
K17081	yellow
K22422	yellow
K20100	yellow
K07091	blue
K21290	yellow
K10449	yellow
K08621	yellow
K13154	yellow
K27061	yellow
K08893	yellow
C05130	yellow
K03178	yellow
K01494	blue
K08658	yellow
K02930	yellow
K21672	blue
K06761	yellow
K09673	yellow
K06790	yellow
K21799	yellow
K26127	yellow
K15440	yellow
K01049	yellow
K03484	blue
K08773	yellow
K00703	green
K12326	yellow
K27472	yellow
K10445	yellow
K14914	yellow
K08296	blue
C11876	yellow
K12602	yellow
K24373	yellow
K10989	yellow
K26116	yellow
K20799	yellow
K14021	yellow
K01807	green
C15522	yellow
K25796	yellow
K24787	yellow
C16374	yellow
K00343	blue
K03501	green
K21351	yellow
K06276	yellow
G00088	yellow
K05668	yellow
K22864	yellow
K14784	yellow
K10468	yellow
K26556	yellow
G00015	yellow
K20624	yellow
K08126	yellow
K02992	green
K10865	yellow
C05502	yellow
K07418	yellow
C03579	yellow
K14590	yellow
K10728	yellow
K04667	yellow
K17145	yellow
K02518	green
K03167	yellow
K19362	yellow
K11175	blue
K19608	yellow
C05341	yellow
K11275	yellow
G13180	blue
K03914	yellow
K06902	blue
K12856	yellow
K01583	yellow
K07430	yellow
K07719	blue
K11860	yellow
K16241	yellow
K04658	yellow
C05413	yellow
K06236	yellow
K14395	yellow
K23730	yellow
K06243	yellow
K04551	yellow
K06535	yellow
K09452	yellow
C09762	yellow
K17597	yellow
C21751	green
K14945	yellow
K04605	yellow
K07031	blue
K08747	yellow
K08796	yellow
K19987	yellow
K07462	blue
K03388	blue
K24795	yellow
K01644	blue
K15891	yellow
K16769	yellow
K02888	green
K10302	yellow
K25484	yellow
K05233	yellow
K27178	yellow
K01520	green
K17423	yellow
K08851	yellow
K14233	yellow
K04268	yellow
K02636	yellow
K21102	yellow
K23870	yellow
K05787	blue
K02525	blue
K00499	yellow
K23907	yellow
K20408	yellow
K20102	yellow
K16330	yellow
K08224	blue
C00239	yellow
K26403	yellow
K07249	yellow
K04914	yellow
K06450	yellow
K10577	yellow
K10573	yellow
K00678	yellow
K06835	yellow
K04409	yellow
K01544	yellow
K07080	blue
K08105	yellow
C19880	blue
C01744	blue
K15013	yellow
G00089	yellow
C11827	blue
K23636	yellow
C18045	yellow
K00911	yellow
K10367	yellow
K06525	yellow
K10563	green
K26521	yellow
C19723	blue
K15421	yellow
C01284	yellow
C00517	yellow
C02220	yellow
C02282	green
C05379	green
K00861	yellow
K11722	yellow
K16639	yellow
K04717	yellow
C00899	yellow
K22395	yellow
K10455	yellow
K27745	yellow
K03698	blue
K25745	yellow
K23087	yellow
K12352	yellow
K15287	yellow
K08107	yellow
K01448	blue
K02735	yellow
K02223	yellow
K11465	yellow
K19176	yellow
K18489	yellow
K14341	yellow
K04288	yellow
K03247	yellow
K19011	yellow
K21841	yellow
C06094	yellow
K25539	yellow
K14800	yellow
K04824	yellow
K25407	yellow
K10588	yellow
C00645	green
K02884	green
K07910	yellow
K18154	yellow
K01996	blue
K06889	green
K01087	yellow
K01765	yellow
K06180	green
C05467	yellow
C05460	yellow
K10735	yellow
C01094	green
K01382	yellow
K17431	yellow
K12794	yellow
K17930	yellow
K05063	yellow
C08604	yellow
K17267	yellow
K04135	yellow
K24317	yellow
K06126	yellow
K04232	yellow
K02091	yellow
K23928	yellow
K08176	yellow
K04370	yellow
K20366	yellow
K11098	yellow
K03494	yellow
K00157	yellow
K00557	blue
G00734	yellow
K01695	green
K16511	blue
K12652	yellow
C01227	yellow
K02990	green
K03871	yellow
K00588	yellow
C11902	yellow
K00997	blue
K07452	blue
K04659	yellow
K22503	yellow
K03946	yellow
K22383	yellow
K01560	blue
C01228	green
K14906	yellow
K21122	yellow
K05859	yellow
K05771	yellow
C06250	green
K10332	yellow
K08830	yellow
K00884	green
C05778	yellow
K10582	yellow
K04072	blue
K04192	yellow
K08439	yellow
K22410	yellow
K08447	yellow
K12166	yellow
K17988	yellow
K18011	blue
C00132	green
K22849	yellow
K12846	yellow
K16900	yellow
K01984	yellow
K20412	yellow
K14991	yellow
K12655	yellow
C00523	yellow
K06532	yellow
K00681	green
K17073	blue
K07483	blue
K11137	yellow
C00243	yellow
K10142	yellow
K19601	yellow
C15974	green
K16977	yellow
C01069	yellow
K14932	yellow
K12325	yellow
K14412	yellow
K04200	yellow
K20492	blue
K08626	yellow
K19997	blue
K11142	yellow
K07729	blue
K01572	blue
K10427	yellow
K16506	yellow
K27274	yellow
K11924	blue
K03789	blue
K27318	yellow
K16054	yellow
K25544	yellow
K22745	yellow
K25549	yellow
K23697	yellow
K21289	yellow
K12304	yellow
C00007	green
C11821	yellow
K16308	yellow
K10223	yellow
K09500	yellow
K17701	yellow
K04718	yellow
G00012	yellow
K02836	green
C06089	yellow
K12820	yellow
C18044	yellow
K00338	blue
K16501	yellow
K14438	yellow
K12837	yellow
K13751	yellow
K04186	yellow
K21424	yellow
K22848	yellow
K17339	yellow
C00327	green
K11708	blue
C22441	green
K09867	yellow
K01914	blue
K07813	blue
K14846	yellow
K00232	yellow
K04976	yellow
C15882	yellow
K03142	yellow
K16513	yellow
C01262	yellow
K02689	yellow
C02504	green
K12734	yellow
K03498	blue
K13989	yellow
C22555	yellow
K10640	yellow
K19327	yellow
K06460	yellow
K14319	yellow
K04266	yellow
K23801	yellow
K17026	yellow
K03835	blue
C00152	green
C16321	yellow
K08838	yellow
K20876	yellow
K05832	blue
K17263	yellow
K19116	blue
K04141	yellow
K01439	blue
K02065	blue
K09556	yellow
K24174	yellow
K24653	yellow
K08046	yellow
G00086	yellow
K26312	yellow
C06102	green
K06567	yellow
K09351	yellow
C05299	yellow
K23963	yellow
K22697	yellow
K16522	yellow
K22069	yellow
K07423	yellow
K12621	yellow
K00318	yellow
K02107	blue
K24146	yellow
K12866	yellow
K16488	yellow
K03447	yellow
C00502	blue
C16630	yellow
K18703	yellow
K18055	yellow
K16804	yellow
K18027	yellow
K10763	blue
G13188	blue
K03311	blue
K03367	blue
K16779	yellow
K05648	yellow
K00182	yellow
K09841	yellow
K25647	yellow
C00332	green
K08680	blue
K01343	yellow
K17603	yellow
K18465	yellow
K15273	yellow
K03741	blue
K04943	yellow
K17558	yellow
K01065	yellow
K02330	yellow
K03979	green
K04755	blue
K08121	yellow
K01427	yellow
K12327	yellow
K26167	yellow
K08538	yellow
K17815	yellow
K01908	yellow
K03999	yellow
K11543	yellow
K06200	blue
K11823	yellow
C01885	green
K11864	yellow
K10745	yellow
K07211	yellow
K08681	green
K07871	yellow
K27211	yellow
K15115	yellow
K23718	yellow
K21765	yellow
K18261	yellow
K11721	yellow
K00335	blue
K15227	yellow
K04931	yellow
K16551	yellow
K11390	yellow
G10557	blue
K10615	yellow
K20647	yellow
K07942	yellow
K02756	blue
K03932	blue
K05258	yellow
K11344	yellow
K05199	yellow
K24975	yellow
C00130	yellow
K10600	yellow
K00931	blue
K24973	yellow
K02103	blue
G00002	yellow
C16220	green
K16507	yellow
C00118	green
K02203	blue
K04905	yellow
K14753	yellow
C00700	yellow
K16898	blue
C00380	blue
