	0
K00765	blue
K01615	blue
C01563	green
K09163	blue
C02990	yellow
K05846	blue
C06201	blue
C20769	blue
K02038	blue
C05791	green
K17759	blue
C18218	yellow
C00761	yellow
K01785	blue
K12986	blue
C06329	yellow
C09873	yellow
K01209	blue
K02115	blue
K18475	blue
K01442	blue
K01026	blue
K07263	blue
K18344	blue
G00040	yellow
C01629	yellow
K22757	blue
K06949	blue
C20752	green
C01585	yellow
C06114	green
K09760	blue
K14588	blue
K00688	blue
K01995	blue
C01477	yellow
C12298	yellow
C16276	yellow
K02189	blue
C00526	green
C11554	yellow
K04095	blue
C03595	yellow
K15396	blue
K03519	blue
C05444	yellow
C11420	blue
K02313	blue
K15773	blue
K15635	blue
C05377	yellow
C00261	yellow
C00984	green
K03299	blue
C08323	yellow
K16924	blue
K21399	blue
K03630	blue
K01297	blue
K08972	blue
K02952	blue
C21017	green
K00930	blue
C04712	yellow
K16937	blue
K01803	blue
C00275	green
C16677	yellow
C17213	green
K05601	blue
K01854	blue
K06958	blue
K01207	blue
K02825	blue
K00048	blue
K00074	blue
K00958	blue
K02800	blue
C01205	green
G01439	yellow
G00008	yellow
K01739	blue
K03584	blue
K04752	blue
K18122	blue
K01439	blue
K03281	blue
C06032	green
C19647	blue
C01744	blue
K04078	blue
C12632	green
K01953	blue
K03346	blue
G00112	yellow
K00963	blue
C16613	yellow
K00700	blue
C05983	green
K01712	blue
C06311	blue
K01662	blue
C00236	green
C00416	green
C04327	green
K09939	blue
C11947	yellow
K01921	blue
C01212	blue
K12297	blue
K02567	blue
C03785	green
C16219	green
K06987	blue
K09009	blue
K05989	blue
G00125	yellow
C19574	yellow
C01902	yellow
K01737	blue
C00835	yellow
C12135	yellow
K04652	blue
C00294	green
C00257	yellow
K03801	blue
K01912	blue
C08380	yellow
K01790	blue
K05346	blue
C05729	green
C16635	yellow
K03079	blue
K01470	blue
K04084	blue
C00155	green
C17335	yellow
C16490	yellow
C15966	yellow
K10112	blue
K02123	blue
K03558	blue
C06093	yellow
K02527	blue
K02647	blue
K12140	blue
C05623	green
K19577	blue
K03799	blue
C17332	yellow
K03413	blue
K19956	blue
C01530	yellow
