	0
K17275	yellow
K14840	yellow
K19352	yellow
C00860	green
K11975	yellow
K08403	yellow
K10626	yellow
K15619	yellow
K03405	yellow
K21853	yellow
K03272	blue
G00098	yellow
K05193	yellow
K20310	yellow
C08821	yellow,orange
K12213	blue
K16881	blue
K09318	yellow
K26235	yellow
C15500	yellow
C00555	green
K06086	yellow
K18168	yellow
K01092	green
K01567	blue
K18494	yellow
C00218	yellow
K23380	yellow
C22966	yellow
K05117	yellow
K24804	yellow
K05398	yellow
K10733	yellow
K13624	yellow
K21110	yellow
K07078	blue
K08467	yellow
C20121	yellow
K02457	blue
K06764	yellow
C12634	yellow
K01715	blue
K05068	yellow
K05249	yellow
K02190	blue
C05446	yellow
K07646	blue
K14855	yellow
K07616	yellow
K15041	yellow
K09699	yellow
K00569	yellow
K25616	yellow
K17681	yellow
K05570	blue
C11556	yellow
K21456	yellow
K14225	yellow
C05441	,orange
K18929	blue
K05582	yellow
K01619	green
K00954	blue
K04875	yellow
K14791	yellow
K14402	yellow
K20924	yellow
K01000	green
K11505	yellow
K10473	yellow
C11827	blue
K00781	yellow
K11150	yellow
C14749	yellow
K07940	yellow
K05064	yellow
K09384	blue
K05759	yellow
K26229	yellow
K03363	yellow
K19030	yellow
K02370	yellow
K04282	yellow
K23203	yellow
K02429	blue
K05266	yellow
K09642	yellow
K04810	yellow
C05744	green
K08511	yellow
K16354	yellow
K04870	yellow
K18026	yellow
K26226	yellow
K09566	yellow
K05167	yellow
K26672	yellow
K06866	blue
K13202	yellow
K05425	yellow
K10590	yellow
K24792	yellow
K05445	yellow
K16658	yellow
K14021	yellow
K15730	yellow
K23196	yellow
K04675	yellow
K22503	yellow
K09808	blue
K00419	yellow
K12828	yellow
K22758	yellow
C21189	yellow
K05137	yellow
K04235	yellow
K02071	blue
C01213	yellow
K02268	yellow
K10444	yellow
K10147	yellow
K08875	yellow
K22684	yellow
K25550	yellow
K03997	yellow
K14443	yellow
K02704	yellow
K22805	yellow
K09568	yellow
K02947	yellow
K11072	blue
K27415	yellow
K10325	yellow
K12895	yellow
K01253	yellow
K07936	yellow
K00336	blue
K25771	yellow
K02118	blue
K15148	yellow
C00533	yellow
K26194	yellow
K12831	yellow
K09514	yellow
C03272	green
K07930	yellow
K03214	blue
K26154	yellow
K08114	yellow
K07406	blue
K04157	yellow
K25358	yellow
C00072	yellow
K20479	yellow
K00760	green
K21775	yellow
C15520	yellow
C05442	yellow
K01230	yellow
K04316	yellow
K02979	yellow
K07146	blue
C11143	blue
K11564	yellow
K12137	blue
C20454	yellow
K04359	yellow
C07446	yellow
K03615	blue
K06183	blue
K14565	yellow
K08568	yellow
K16153	blue
K25078	yellow
K05135	yellow
C21879	blue
K13436	yellow
K04565	yellow
K14880	yellow
C15802	yellow
C06213	,orange
K18121	yellow
K02007	blue
K25355	yellow
C17518	,orange
K04825	yellow
K00236	yellow
K10050	yellow
K14815	yellow
G13093	yellow
K15724	blue
K16283	yellow
K17580	yellow
K17098	yellow
K03303	blue
K03784	blue
K00139	yellow
C08614	yellow
C05825	blue
K24236	yellow
K09995	yellow
K20118	blue
K01661	green
K02124	blue
K04694	yellow
K07966	yellow
K06679	yellow
C17622	yellow
C15806	yellow
K26586	yellow
