	gene_set_1	gene_set_2
C01185	True	True
C04916	True	True
C00501	True	False
C19080	True	True
C04157	True	True
C00343	True	True
C05753	True	True
C02528	True	False
C00069	True	True
C16698	True	False
C00011	True	True
C18040	True	True
C04823	True	True
C03740	True	True
C14899	True	False
C00741	True	False
C19859	True	True
C04501	True	True
C00582	True	False
C00206	True	True
C00078	True	True
C00020	True	True
C00194	True	True
C00254	True	True
C00683	True	True
C09306	True	False
C20969	True	True
C02553	True	True
C00129	True	True
C00519	True	True
C00063	True	True
C00416	True	True
C00192	True	False
C05161	True	False
C03402	True	True
G13186	True	False
C00185	True	True
C05269	True	True
C00143	True	True
C00119	True	True
C00025	True	True
C00041	True	True
C06504	True	False
C05924	True	True
C21881	True	False
C05691	True	True
C01635	True	False
C20238	True	True
C00962	True	True
C19085	True	True
C05817	True	True
C09099	True	False
G00289	True	True
C00085	True	True
C00887	True	False
C06113	True	True
C00365	True	True
C00167	True	True
C17949	True	False
C06311	True	False
C21065	True	True
C11545	True	False
C01131	True	False
C00112	True	True
C20377	True	True
C15602	True	False
C20375	True	True
C00189	True	True
G13179	True	False
C00267	True	True
C21015	True	True
C00417	True	True
C00010	True	True
C10208	True	True
C14090	True	True
G13167	True	False
C00052	True	True
C00166	True	True
C00139	True	True
C16244	True	False
C00624	True	True
C20376	True	True
C00692	True	False
C00894	True	True
C00089	True	True
C04824	True	False
C04327	True	True
C00114	True	True
C11404	True	False
G00317	True	True
C00526	True	True
C00535	True	True
C17549	True	False
C02084	True	False
C00439	True	True
C00250	True	True
C00237	True	True
C14463	True	True
C19847	True	False
C05850	True	True
C06613	True	True
C05756	True	True
C03539	True	False
C03921	True	False
C00644	True	False
C00207	True	False
C03294	True	True
C06118	True	True
C02352	True	True
C00141	True	True
C00136	True	True
C04153	True	False
C04432	True	True
C11907	True	True
C06567	True	False
C05796	True	True
C00691	True	False
C00028	True	True
C00242	True	True
C20753	True	False
C00031	True	True
C05893	True	True
C18096	True	False
G11160	True	True
C00014	True	True
C01250	True	True
C00366	True	True
C02429	True	False
C01222	True	True
C05404	True	True
C05848	True	True
C16238	True	False
C04574	True	False
C00498	True	True
C19609	True	False
C03838	True	True
C01212	True	False
C19875	True	True
C00033	True	True
C01242	True	True
C18055	True	False
C05974	True	True
C21387	True	False
C05810	True	False
C04732	True	True
C15556	True	True
G13164	True	False
C00252	True	False
C00180	True	True
C17322	True	False
C00258	True	True
C04635	True	True
C21485	True	False
C15603	True	True
C00009	True	True
C00217	True	True
C05758	True	True
C02051	True	True
C20446	True	False
C00162	True	True
C06201	True	False
C05271	True	True
C01769	True	False
C00475	True	True
C03089	True	True
C05754	True	True
G00108	True	True
C04242	True	True
C00294	True	True
C06032	True	True
C00804	True	True
C16633	True	True
C01346	True	True
C00353	True	True
C02269	True	False
C05684	True	True
C05750	True	True
C01186	True	False
G13177	True	False
C15812	True	True
C22458	True	True
C16338	True	True
G13193	True	False
C00681	True	True
C06397	True	False
C00153	True	True
C00357	True	True
C05775	True	False
C02702	True	True
G00177	True	False
C15814	True	True
C00071	True	True
C00364	True	True
C02987	True	True
C00073	True	True
G00092	True	True
C13952	True	False
C00022	True	True
C05898	True	True
C04573	True	False
C04376	True	True
C00100	True	True
C06187	True	False
C00693	True	True
C02939	True	True
C05235	True	False
C01168	True	True
C05199	True	False
C00473	True	True
C15930	True	False
C20258	True	True
C03785	True	True
C02047	True	True
C00576	True	True
C00615	True	False
C21873	True	False
C02967	True	True
C00253	True	True
C05760	True	True
C03363	True	True
C02876	True	False
C06056	True	True
C00233	True	True
C00262	True	True
C20758	True	False
C00219	True	True
C04438	True	True
C00882	True	True
C05894	True	False
C19745	True	False
C05791	True	True
C04807	True	True
C16466	True	True
C05824	True	True
C05946	True	True
C05623	True	False
C01267	True	True
C01177	True	True
C01571	True	True
C19878	True	False
C22412	True	False
C03291	True	False
C00344	True	True
C02133	True	False
C02888	True	False
C03167	True	False
C00695	True	True
C01302	True	True
C05726	True	True
C04216	True	False
C00352	True	True
C04442	True	False
C03589	True	False
C00095	True	True
C16596	True	True
C21018	True	True
C00685	True	True
C06193	True	False
C00330	True	True
C00470	True	True
C06416	True	False
C00885	True	True
C00536	True	True
C03313	True	True
C21749	True	True
C11436	True	True
C01286	True	False
C06615	True	True
C06024	True	True
C06423	True	True
C06006	True	True
C05627	True	False
C03069	True	True
C21995	True	False
C00931	True	True
C01219	True	False
C00164	True	True
C00245	True	True
C02338	True	False
C01045	True	True
C06510	True	False
C04121	True	True
C00169	True	True
C01419	True	True
C12215	True	True
C00680	True	True
C02315	True	False
C05396	True	False
C16334	True	True
C02637	True	True
C06509	True	False
C04851	True	True
C16219	True	True
C04702	True	False
C11543	True	False
C00794	True	True
C00993	True	False
C00311	True	True
C15975	True	True
C21880	True	False
C00785	True	True
C01898	True	True
C02097	True	True
C00165	True	False
C00002	True	True
C01112	True	True
C02686	True	True
C03506	True	True
C01138	True	False
C03862	True	True
C02964	True	False
C00387	True	True
C04570	True	True
C01187	True	False
C04181	True	True
C00170	True	True
C12739	True	True
C03160	True	True
C15977	True	True
C00039	True	True
C00227	True	False
C17223	True	True
C21335	True	False
C06188	True	False
C00144	True	True
C06547	True	True
C01674	True	True
C15810	True	True
C02953	True	True
C06755	True	True
C00705	True	True
C01931	True	True
C04646	True	True
C04751	True	False
C20378	True	True
C17556	True	False
C02232	True	True
C00016	True	True
C21178	True	False
C04506	True	True
C16400	True	False
C00122	True	True
C00508	True	False
C06503	True	False
C21453	True	False
G13200	True	False
C04534	True	False
C00083	True	True
C19673	True	False
C01762	True	True
C00921	True	True
C04152	True	False
C20933	True	False
C21152	True	False
C11538	True	False
C20861	True	False
C00378	True	True
C00638	True	True
C06114	True	True
C00188	True	True
C16587	True	True
C04896	True	True
C00214	True	True
C00148	True	True
C18796	True	True
C00105	True	True
C07836	True	False
C00399	True	True
C03912	True	True
C00319	True	True
C04425	True	True
C16399	True	False
C00027	True	True
C05983	True	True
C04640	True	True
C00032	True	True
C00448	True	True
C03375	True	False
C00047	True	True
C00789	True	True
C00923	True	False
C06614	True	True
C00286	True	True
C01092	True	True
C00410	True	True
G00711	True	True
C05897	True	True
C03150	True	True
C04874	True	True
C00704	True	True
C00488	True	False
C00409	True	True
C02985	True	True
C00064	True	True
C20752	True	True
C05841	True	True
C05819	True	True
C21017	True	True
C04188	True	True
C00103	True	True
C00280	True	True
C00672	True	True
C00577	True	True
C04778	True	False
C21879	True	False
C04317	True	True
C03684	True	True
G11121	True	True
C00244	True	True
C00341	True	True
C00764	True	False
C04334	True	False
C05527	True	True
C05640	True	True
G10553	True	True
G13180	True	False
C00504	True	True
C00178	True	True
C00246	True	False
C00125	True	False
C19078	True	True
C15978	True	True
C00455	True	True
C00282	True	False
C00179	True	True
C21955	True	False
C06441	True	False
C05267	True	True
C21751	True	True
C00134	True	True
C06407	True	False
C01468	True	False
C00864	True	True
C00255	True	True
C20236	True	False
C05703	True	True
C00630	True	True
C01304	True	True
C00283	True	True
C00860	True	True
C07086	True	True
C05699	True	True
C02984	True	True
C03511	True	True
C06365	True	False
C00251	True	True
C01165	True	True
C15976	True	True
C01755	True	True
C02188	True	True
C01935	True	True
C05335	True	True
C03127	True	True
C20251	True	False
C00108	True	True
C05336	True	True
C18237	True	True
C19871	True	False
C03344	True	True
C00954	True	True
C01080	True	False
C05762	True	True
C00269	True	True
C00075	True	True
C20641	True	True
C03405	True	True
C00302	True	True
C05844	True	True
C20836	True	False
C21113	True	True
C00231	True	True
C03341	True	False
C05746	True	True
C03733	True	False
C11417	True	False
C00655	True	True
C12248	True	True
C00555	True	True
C21999	True	False
C00558	True	False
C11481	True	False
C17323	True	True
C03345	True	True
C00053	True	True
C19880	True	False
C01744	True	False
C11827	True	False
C01641	True	True
C00842	True	False
C16565	True	True
C11453	True	True
C01096	True	False
C19723	True	False
C02737	True	True
C01352	True	True
C00042	True	True
G10008	True	False
C04332	True	True
C02282	True	True
C07838	True	False
C05379	True	True
C00415	True	True
C05259	True	True
C00146	True	False
C01268	True	True
C19845	True	False
G09660	True	True
C02463	True	True
C21334	True	True
C00957	True	True
C03871	True	False
C00248	True	True
C01101	True	False
C00065	True	True
C05577	True	True
C22155	True	True
C05263	True	True
C00354	True	True
C01081	True	True
C01801	True	True
C04051	True	True
C19846	True	True
C02323	True	False
C04146	True	False
C00212	True	True
C20658	True	True
C00645	True	True
G01391	True	True
C14099	True	True
C05265	True	True
C00068	True	True
C16619	True	True
C01097	True	False
C00005	True	True
G13039	True	True
G10481	True	True
C01721	True	False
C10447	True	False
C16330	True	True
C01179	True	True
C01094	True	True
C00463	True	True
C04554	True	True
C20246	True	False
C15495	True	False
C04877	True	False
C21461	True	False
C01279	True	True
C00198	True	False
C05512	True	True
C00012	True	True
C03406	True	True
C00454	True	True
C06507	True	False
C02474	True	True
C05445	True	True
C05923	True	True
C00049	True	True
C00689	True	True
C16348	True	True
C02835	True	True
C00137	True	True
C00389	True	True
C07490	True	True
C22438	True	True
C00099	True	True
C02415	True	True
C02741	True	True
C21767	True	False
C05686	True	True
C00043	True	True
C03232	True	True
C04039	True	True
C00631	True	True
C04088	True	True
C04122	True	False
C21440	True	True
C00001	True	True
C01228	True	True
C03794	True	True
C00003	True	True
C00721	True	True
C05748	True	True
C06250	True	True
C16273	True	False
C21861	True	True
C07335	True	False
C01645	True	False
C04881	True	False
C02988	True	True
C03082	True	True
C05125	True	True
C20755	True	False
C01269	True	True
C00944	True	True
C19882	True	False
C00058	True	True
C01209	True	True
C00186	True	False
C03431	True	False
C00446	True	True
C00132	True	True
C05698	True	True
C16489	True	False
C04257	True	True
C00345	True	True
C02527	True	False
C00035	True	True
C02631	True	True
C01176	True	True
C21101	True	False
C00133	True	False
C22159	True	True
