compound1,compound2,reaction,KOs
C00001,C00080,R10634,"K11121,K11411,K11412,K11413,K11414,K11415,K11416,K11417,K12410"
C00001,C00229,R08157,"K01071,K10781"
C00001,C06423,R08157,"K01071,K10781"
C00080,C14818,R02864,"K02302,K02304,K03794"
C00080,C05778,R02864,"K02302,K02304,K03794"
C01368,C00299,R01877,"K01119,K03787,K08693"
C01368,C00009,R01877,"K01119,K03787,K08693"
C00001,C00299,R01877,"K01119,K03787,K08693"
C00001,C00009,R01877,"K01119,K03787,K08693"
C00881,C00526,R02485,K01489
C00881,C00014,R02485,K01489
C00001,C00526,R02485,K01489
C00001,C00014,R02485,K01489
C00001,C00137,R01185,"K01092,K10047,K18649"
C00001,C00009,R01185,"K01092,K10047,K18649"
C00068,C03028,R11319,K00939
C00068,C00020,R11319,K00939
C00008,C03028,R11319,K00939
C00008,C00020,R11319,K00939
C00101,C00008,R00943,"K00288,K01938,K13402"
C00101,C00009,R00943,"K00288,K01938,K13402"
C00101,C00234,R00943,"K00288,K01938,K13402"
C00058,C00008,R00943,"K00288,K01938,K13402"
C00058,C00009,R00943,"K00288,K01938,K13402"
C00058,C00234,R00943,"K00288,K01938,K13402"
C00002,C00008,R00943,"K00288,K01938,K13402"
C00002,C00009,R00943,"K00288,K01938,K13402"
C00002,C00234,R00943,"K00288,K01938,K13402"
C00024,C00010,R01776,"K00641,K00651,K19726"
C00024,C01077,R01776,"K00641,K00651,K19726"
C00002,C00008,R01150,K01921
C00002,C00009,R01150,K01921
C00002,C00993,R01150,K01921
C00133,C00008,R01150,K01921
C00133,C00009,R01150,K01921
C00133,C00993,R01150,K01921
C00680,C00047,R00451,"K01586,K12526"
C00680,C00011,R00451,"K01586,K12526"
C04432,C20753,R10645,K06168
C04432,C00021,R10645,K06168
C04432,C00073,R10645,K06168
C04432,C05198,R10645,K06168
C01209,C00021,R09543,K02169
C01209,C19673,R09543,K02169
C00242,C00385,R01676,K01487
C00242,C00014,R01676,K01487
C00001,C00385,R01676,K01487
C00001,C00014,R01676,K01487
C00269,C00055,R01800,"K00998,K17103"
C00269,C02737,R01800,"K00998,K17103"
C00065,C00055,R01800,"K00998,K17103"
C00065,C02737,R01800,"K00998,K17103"
C00047,C01672,R00462,K01582
C00047,C00011,R00462,K01582
C20959,C20960,R10939,K11530
C00001,C12739,R08221,K01489
C00001,C00014,R08221,K01489
C00354,C00085,R00762,"K01086,K01622,K02446,K03841,K04041,K11532"
C00354,C00009,R00762,"K01086,K01622,K02446,K03841,K04041,K11532"
C00001,C00085,R00762,"K01086,K01622,K02446,K03841,K04041,K11532"
C00001,C00009,R00762,"K01086,K01622,K02446,K03841,K04041,K11532"
C06010,C00022,R00226,"K01652,K01653,K11258"
C00011,C00022,R00226,"K01652,K01653,K11258"
C00006,C03508,R10851,K16066
C00006,C00005,R10851,K16066
C00006,C00080,R10851,K16066
C16243,C11542,R07773,K02188
C16243,C00021,R07773,K02188
C01132,C03272,R04184,K12373
C01132,C00001,R04184,K12373
C00251,C00885,R01717,"K01851,K02361,K02552,K14759"
C00979,C05688,R03601,"K01738,K10150,K13034"
C00979,C00033,R03601,"K01738,K10150,K13034"
C01528,C05688,R03601,"K01738,K10150,K13034"
C01528,C00033,R03601,"K01738,K10150,K13034"
C00063,C00112,R08574,K07732
C00063,C00061,R08574,K07732
C00255,C00112,R08574,K07732
C00255,C00061,R08574,K07732
C00002,C00013,R01354,"K01895,K01908"
C00002,C05983,R01354,"K01895,K01908"
C00163,C00013,R01354,"K01895,K01908"
C00163,C05983,R01354,"K01895,K01908"
C00002,C00008,R00104,K00858
C00002,C00006,R00104,K00858
C00003,C00008,R00104,K00858
C00003,C00006,R00104,K00858
C00003,C04638,R10325,K17830
C00003,C00004,R10325,K17830
C00003,C00080,R10325,K17830
C00001,C00097,R11524,K21140
C00001,C15810,R11524,K21140
C00399,C00390,R11945,"K00330,K00331,K00332,K00333,K00334,K00335,K00336,K00337,K00338,K00339,K00340,K00341,K00342,K00343,K03878,K03879,K03880,K03881,K03882,K03883,K03884,K03934,K03935,K03936,K03940,K03941,K03942,K03943,K05572,K05573,K05574,K05575,K05576,K05577,K05578,K05579,K05580,K05581,K05582,K05583,K05584,K05585,K05586,K05587,K05588,K13378,K13380,K15863"
C00399,C00003,R11945,"K00330,K00331,K00332,K00333,K00334,K00335,K00336,K00337,K00338,K00339,K00340,K00341,K00342,K00343,K03878,K03879,K03880,K03881,K03882,K03883,K03884,K03934,K03935,K03936,K03940,K03941,K03942,K03943,K05572,K05573,K05574,K05575,K05576,K05577,K05578,K05579,K05580,K05581,K05582,K05583,K05584,K05585,K05586,K05587,K05588,K13378,K13380,K15863"
