	0
G13118	blue
C05797	yellow
C01181	green
C04644	green
G10504	yellow
C05610	yellow
C00015	green
C00668	green
K06890	blue
C05312	blue
C18048	blue
C00714	yellow
K02783	blue
K11753	blue
K02016	blue
C05843	yellow
K01150	blue
K18640	blue
K08306	blue
C06341	yellow
G13163	blue
C15972	green
G13044	yellow
K06193	blue
K01921	blue
K02009	blue
K21572	blue
K18829	blue
K02779	blue
C16698	blue
C04823	green
K04654	blue
K01198	blue
C17328	yellow
K07584	blue
C00416	green
K01629	blue
G13186	blue
C01978	yellow
K13016	blue
C00143	green
K07717	blue
K18234	blue
K02217	blue
K17214	blue
G00022	yellow
C01194	yellow
K01840	blue
C21015	green
K14055	blue
C00417	green
C00166	green
C16244	blue
K00700	blue
K01206	blue
K02411	blue
K07058	blue
C22965	yellow
C20221	yellow
K03312	blue
K16786	blue
K12978	blue
K03474	blue
K00963	blue
K03269	blue
K07273	blue
K04062	blue
C16238	blue
C04574	blue
K00243	blue
K01626	blue
C01242	green
C01158	yellow
K04094	blue
C00180	green
K01885	blue
K01077	blue
C20659	yellow
K00097	blue
G13091	yellow
K02410	blue
C12667	yellow
K03116	blue
C00750	yellow
K11755	blue
K21011	blue
C04713	yellow
C22458	green
K01835	blue
K09973	blue
K00395	blue
K01668	blue
K06958	blue
C19765	yellow
C01168	green
K12373	blue
K00633	blue
C19745	blue
K02421	blue
K14441	blue
C19878	blue
C03167	blue
C04442	blue
C16540	yellow
K02052	blue
K05881	blue
K00561	blue
K13049	blue
C05627	blue
K03100	blue
C05908	yellow
K02650	blue
K02526	blue
G00081	yellow
C02637	green
K02782	blue
K00762	blue
C15975	green
K03637	blue
C01898	green
C19605	yellow
K03451	blue
K07284	blue
C01138	blue
C12739	green
G10526	yellow
K09936	blue
C06547	green
C02591	yellow
C05306	yellow
G00090	yellow
K07668	blue
K02343	blue
C04152	blue
K00990	blue
K01881	blue
K19049	blue
C05983	green
G10621	yellow
K03453	blue
K01012	blue
K02446	blue
K03592	blue
C01450	yellow
C14749	yellow
C00577	green
K01788	blue
C04334	blue
K03616	blue
C05640	green
K03205	blue
K01756	blue
C00504	green
C00125	blue
K12218	blue
C05267	green
C22563	yellow
C16669	yellow
C20236	blue
C00630	green
K02907	blue
K03710	blue
C01755	green
C01935	green
K23003	blue
K10907	blue
C19871	blue
C12205	yellow
K02887	blue
C20836	blue
C04185	yellow
K05337	blue
K07334	blue
K12974	blue
K22900	blue
G01439	yellow
G10008	blue
C04332	green
C02571	yellow
K02906	blue
K02416	blue
K15581	blue
K18955	blue
C05577	green
K02040	blue
K19310	blue
G13080	yellow
K00826	blue
K03719	blue
G13039	green
K00690	blue
K06409	blue
K16264	blue
C02474	green
K10708	blue
C17440	yellow
C02741	green
C03232	green
C20121	yellow
C16677	yellow
C15970	yellow
K05878	blue
C19616	yellow
C21189	yellow
C02100	yellow
K01817	blue
K02503	blue
K06901	blue
K05845	blue
K06215	blue
C22159	green
K20342	blue
K06207	blue
C00459	green
K16937	blue
C05394	green
C00232	yellow
K03308	blue
C03125	green
K06405	blue
C02992	green
K07107	blue
K07082	blue
K03488	blue
C04919	green
C03373	green
C00048	green
K03475	blue
C05139	yellow
K08153	blue
K07126	blue
C16638	yellow
C11870	yellow
C03205	yellow
C03582	yellow
K16091	blue
K01734	blue
K10805	blue
K12132	blue
K15600	blue
C00356	green
K01147	blue
C00126	green
K00324	blue
K01738	blue
K06310	blue
C01371	yellow
C05751	green
C01037	green
K00929	blue
C04132	green
C19879	blue
C00822	yellow
K08299	blue
C05545	yellow
G00031	yellow
K03437	blue
C15670	yellow
C06251	blue
C22092	blue
G13350	yellow
K03621	blue
K16957	blue
K14155	blue
C00544	yellow
K00290	blue
C16389	yellow
C17227	green
K07502	blue
K16789	blue
C00810	blue
K00057	blue
C21300	yellow
K03578	blue
K15726	blue
K07568	blue
C03231	yellow
K00881	blue
C06112	green
C00601	yellow
G13036	yellow
K02050	blue
K06012	blue
C15813	green
C05485	yellow
C00272	yellow
K03781	blue
C04404	blue
C00942	yellow
K03555	blue
K01673	blue
C16236	green
C04802	yellow
C00719	yellow
C21114	yellow
K01187	blue
C00201	green
C15799	yellow
K14988	blue
K17076	blue
K09706	blue
K00375	blue
K19510	blue
K03319	blue
K00793	blue
K03427	blue
C05381	green
K11741	blue
C00438	green
C00004	green
K07814	blue
K15725	blue
K03635	blue
K03612	blue
C05842	yellow
K02551	blue
K06610	blue
K01173	blue
K22278	blue
C11435	green
C21214	green
C15495	blue
C00030	green
K01186	blue
K03306	blue
K01998	blue
C00388	green
K22010	blue
K06217	blue
K17235	blue
C00979	green
K07793	blue
K08315	blue
K03773	blue
K16169	blue
K07456	blue
G00023	yellow
C01335	green
K01939	blue
K06978	blue
K03763	blue
G02632	yellow
C19559	yellow
K01776	blue
K00004	blue
K07139	blue
C00011	green
K03841	blue
K00567	blue
G12573	yellow
K03666	blue
C16387	yellow
C02199	yellow
K14652	blue
C00642	yellow
K00334	blue
K00059	blue
K07657	blue
C19085	green
C01235	yellow
K03587	blue
C05817	green
K01082	blue
K02548	blue
C15602	blue
K08717	blue
C00052	green
K04653	blue
C11404	blue
G13081	yellow
K01443	blue
K00848	blue
K00634	blue
C06613	green
K17716	blue
K00010	blue
C05665	yellow
C05893	green
K02120	blue
C17554	yellow
C01203	yellow
K02109	blue
K03892	blue
K07115	blue
C19609	blue
C05594	yellow
C05619	yellow
C03691	yellow
G13164	blue
C12206	yellow
C00265	yellow
K03568	blue
C01697	yellow
K02567	blue
C06201	blue
K02800	blue
C01769	blue
C02863	yellow
G00085	yellow
C05684	green
K05846	blue
C05750	green
C01186	blue
C20859	yellow
G13177	blue
C00618	yellow
C03885	yellow
C00847	yellow
K04767	blue
K03686	blue
C06187	blue
C04438	green
K01056	blue
K02069	blue
C02222	yellow
K01567	blue
K06173	blue
K01858	blue
K00355	blue
K13288	blue
C00470	green
G00060	yellow
K02874	blue
C21749	green
C16376	yellow
C05465	yellow
K01493	blue
K09903	blue
K01703	blue
K01790	blue
K00034	blue
K14623	blue
C14853	yellow
K05595	blue
C16469	yellow
K06213	blue
K01194	blue
C11543	blue
C02097	green
C03862	green
K21087	blue
G00128	yellow
G03532	yellow
K00068	blue
C05642	yellow
K03617	blue
C03366	yellow
K00342	blue
K01905	blue
C15810	green
C00735	yellow
C06755	green
K03407	blue
K09118	blue
C21178	blue
K09789	blue
C00027	green
C04640	green
C05350	yellow
K00351	blue
C01220	yellow
K20373	blue
K10112	blue
K06142	blue
C00843	yellow
C00409	green
K12511	blue
C05651	yellow
C00672	green
C03004	yellow
K02387	blue
C00764	blue
K01057	blue
C00951	yellow
C21955	blue
C21217	yellow
K09817	blue
C03454	yellow
C03511	green
C06365	blue
C03127	green
K06973	blue
C08616	yellow
C20641	green
C00811	yellow
K03218	blue
C00472	yellow
K05570	blue
C05439	yellow
K00067	blue
C16291	yellow
K07576	blue
K09921	blue
K00858	blue
G00704	yellow
K02397	blue
K05970	blue
K09767	blue
K02046	blue
C05263	green
G00160	yellow
C00212	green
K01838	blue
K11072	blue
C05587	yellow
C21667	yellow
K12986	blue
C01097	blue
K01676	blue
K02028	blue
C04756	yellow
K20117	blue
C02280	yellow
C22421	yellow
C02305	yellow
K09811	blue
K00805	blue
K19294	blue
C22438	green
K08984	blue
C05686	green
C05122	yellow
C04881	blue
K02892	blue
C00186	blue
K02044	blue
C02527	blue
K01224	blue
K21573	blue
K15342	blue
K22227	blue
C00160	green
K04069	blue
C00635	yellow
K00382	blue
K00930	blue
C11455	yellow
K15773	blue
K10439	blue
